question,ground_truth,source_id,answer,contexts
在职职工看普通门诊，一年最多能报销多少钱啊？封顶线是多少？,3000元。,chunk_22,在职职工普通门诊年度最高支付限额为 3000 元。,"2(4).哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 7.880514144897461, ChunkID: chunk_20)

3(3).哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 7.671192169189453, ChunkID: chunk_15)

4(2).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.344084739685059, ChunkID: chunk_23)

5(1).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.2140984535217285, ChunkID: chunk_22)"
在职职工去门诊看病，得花多少钱以上医保才开始报销？门槛费是多少？,400元。,chunk_22,哈尔滨城镇职工普通门诊（门诊共济保障）的起付标准（门槛费）为 400 元。在职人员在三级、二级、一级及以下定点医院就诊，统筹基金分别按 50%、60%、70% 比例报销。,"2(4).哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 7.273344993591309, ChunkID: chunk_7)

3(1).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.036454677581787, ChunkID: chunk_22)

4(2).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 6.984518051147461, ChunkID: chunk_23)

5(3).哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 6.840508460998535, ChunkID: chunk_5)"
我都退休好几年了，也是职工医保，去三级医院看个门诊，报销比例比在职的高吗？是多少？,55%（比在职高5个百分点）。,chunk_23," 
回答: 是的。退休人员门诊共济待遇比例较高。在三级定点医院，退休人员统筹基金支付比例为 55%，比在职人员高出 5 个百分点。","2(4).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 6.670340538024902, ChunkID: chunk_22)

3(2).哈尔滨城镇职工医保住院待遇，就医类别为异地转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 85%，退休人员支付 88%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 6.608572483062744, ChunkID: chunk_6)

4(1).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 6.561511039733887, ChunkID: chunk_23)

5(3).哈尔滨城镇职工医保住院待遇，就医类别为异地急诊或自由转诊。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 80%，退休人员支付 83%。**起付标准（门槛费）**根据医院等级不同：三级医院 720元，二级医院 480元，一级医院 240元，无等级医院 200元。
(Score: 6.5247321128845215, ChunkID: chunk_7)"
退休老人在一级医院看普通门诊，报销比例能达到多少？,75%。,chunk_23,退休人员在哈市一级定点医院进行普通门诊（非特病）的统筹基金支付比例为 75%。,"2(2).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 9.5% 缴费的参保人员（在职）。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 50%。
2. 二级定点医院：统筹基金支付 60%。
3. 一级及以下定点医院：统筹基金支付 70%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.346866130828857, ChunkID: chunk_22)

3(1).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.3398237228393555, ChunkID: chunk_23)

4(4).哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 7.259036064147949, ChunkID: chunk_5)

5(3).哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 7.121147632598877, ChunkID: chunk_15)"
退休人员的普通门诊，一年的最高支付限额和在职的一样吗？是多少？,一样，3000元。,chunk_23,退休人员普通门诊年度限额低于在职。退休人员门诊共济年度最高支付限额为 3000 元。,"2(1).哈尔滨城镇职工门诊特殊疾病待遇，病种为**器官移植术后**（肝、肾、肺、心脏移植）。**统筹基金支付项目为**：抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**报销比例**：在职与退休人员均为 90%。
**年度支付限额**：
1. 术后2年以内（含2年）：年限额 9万元，每季度不超过 22500元。
2. 术后2年以上：年限额 7万元，每季度不超过 17500元。
(Score: 7.806500434875488, ChunkID: chunk_15)

3(2).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.778630256652832, ChunkID: chunk_23)

4(3).哈尔滨城镇职工门诊特殊疾病待遇，各病种对应的**统筹基金支付项目**及待遇如下：
1. **重性精神病药物维持治疗**：在职人员支付 90%，退休人员支付 90%（注意：退休不执行93%标准）。
2. **肺结核药物维持治疗**：在职人员支付 95%，退休人员支付 98%。
3. **特殊药品（靶向用药）**：在职人员支付 90%，退休人员支付 93%。
(Score: 7.204751014709473, ChunkID: chunk_18)

5(4).哈尔滨城镇职工门诊特殊疾病待遇，病种为**糖尿病胰岛素治疗**。**统筹基金支付项目**：胰岛素治疗相关费用。**报销比例**：在职人员支付 90%，退休人员支付 93%。**特殊限制**：统筹基金年度最多支付不超过 2400元。
(Score: 6.717898368835449, ChunkID: chunk_17)"
我单位这几个月医保欠费了，我现在去门诊看病还能享受待遇吗？,不享受待遇（欠缴情况）。,chunk_24," 
回答: 您目前可能无法直接享受待遇。建议您先在医院进行医保结算，系统会记录您的实际支付金额。待补缴完欠费后，您可以拿着结算票据到该医院申请退费并重新结算，或者等待系统数据更新后自动补算。务必尽快补缴，以免影响后续待遇享受。","2(1).哈尔滨城镇职工医保普通门诊待遇温馨提示（不享受待遇及欠费处理）：
1. **不享受待遇的情况**：非 9.5% 缴费的参保人员及 6.5% 缴费的退休人员；缴费未到账、未生成缴费计划或有欠缴情况；未达到起付标准 400元；超过门诊共济年度最高支付限额 3000元的部分。
2. **欠费处理**：如因参保缴费问题（未生成计划、未到账、欠缴）导致未及时享受待遇，须在就医时先行使用医保结算，待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。
(Score: 7.605496883392334, ChunkID: chunk_24)

3(3).哈尔滨城镇职工医保门诊慢性病待遇。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**报销比例**：统筹基金支付比例为 90%。
**支付限额**：每季度统筹金最高支付限额 800元，一年内统筹金最高支付限额 3200元。
(Score: 7.419622898101807, ChunkID: chunk_20)

4(2).哈尔滨城乡居民“两病”门诊待遇（高血压、糖尿病专项保障）。
**适用对象**：未达到门诊慢性病鉴定标准的“两病”参保居民。
**待遇标准**：
1. **起付标准**：不设起付标准（0门槛费）。
2. **支付比例**：二级定点医疗机构 70%，二级以下定点基层医疗机构 80%。
3. **支付限额**：高血压患者降血压用药年度统筹基金最高支付限额 400元；糖尿病患者降血糖用药年度统筹基金最高支付限额 600元。
(Score: 7.346158027648926, ChunkID: chunk_50)

5(4).哈尔滨城镇职工医保普通门诊待遇（门诊共济保障），适用人群为 6.5% 缴费的退休人员。
**起付标准（门槛费）**：400元。
**报销比例**：
1. 三级定点医院：统筹基金支付 55%。
2. 二级定点医院：统筹基金支付 65%。
3. 一级及以下定点医院：统筹基金支付 75%。
**年度限额**：门诊共济年度最高支付限额为 3000元。
(Score: 7.147912979125977, ChunkID: chunk_23)"
之前医保欠费没报销成，现在补上了，我之前看病的钱还能回来重新结算吗？,待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。,chunk_24,,"2(1).哈尔滨医保异地就医结算便利与“双向享受”政策。
1. **直接结算**：已成功办理异地备案的参保人，可持社会保障卡、身份证或医保电子凭证在备案地开通的所有异地联网定点医药机构享受住院和门诊费用直接结算服务。
2. **双向享受**：已办理**长期异地备案**的参保人员，可以在备案地和参保地（哈尔滨）双向享受医保待遇（即备案后回哈尔滨看病也能正常报销，不降低比例）。
(Score: 7.242112636566162, ChunkID: chunk_53)

3(4).哈尔滨城乡居民“两病”门诊管理规则（高血压、糖尿病）。
1. **待遇互斥**：已经享受统筹地区门诊慢性病待遇的参保人员，继续执行现有的门诊慢性病保障政策，不再重复享受“两病”待遇。
2. **住院冲突**：住院期间医疗费用按住院报销政策执行，住院期间不能同时发生“两病”门诊医疗费用。
3. **购药渠道**：可在本统筹区内任意二级及以下定点医疗机构购买“两病”药品，实行医保直接结算。
4. **异地报销**：长期异地居住的，在“两病”未实行异地门诊直接结算前，由参保人先行垫付，再到参保地经办机构申请报销。
(Score: 6.990446090698242, ChunkID: chunk_51)

4(3).哈尔滨医保零星报销（手工报销）适用范围与限制条件。
1. **适用情况**：在异地定点医药机构未能直接结算的门诊特殊疾病、门诊慢性病、门诊特殊药品、急诊转住院、异地安置住院、临时外出就医住院、转诊转院住院等。
2. **本地限制（重要）**：哈尔滨市统筹区域范围内定点医药机构就医需持卡直接结算。未在定点医药机构就诊的医疗费用，医保基金不予支付（急诊抢救除外）。
(Score: 6.781365394592285, ChunkID: chunk_73)

5(2).哈尔滨城镇职工医保普通门诊待遇温馨提示（不享受待遇及欠费处理）：
1. **不享受待遇的情况**：非 9.5% 缴费的参保人员及 6.5% 缴费的退休人员；缴费未到账、未生成缴费计划或有欠缴情况；未达到起付标准 400元；超过门诊共济年度最高支付限额 3000元的部分。
2. **欠费处理**：如因参保缴费问题（未生成计划、未到账、欠缴）导致未及时享受待遇，须在就医时先行使用医保结算，待待遇正常后可到所就诊的定点医药机构进行退结算并重新结算。
(Score: 6.69548225402832, ChunkID: chunk_24)"
我是交城乡居民医保的，这一年下来，医保统筹最多能帮我掏多少钱？封顶线是多少？,18万元。,chunk_25," 
哈尔滨城乡居民医保统筹基金年度最高支付限额为 18万元。这封顶线适用于所有合规的住院和门诊特病费用。","2(2).哈尔滨城乡居民医保待遇基础规则。
**最高支付限额**：参保居民一个年度内发生符合统筹基金支付范围的医疗费用，统筹基金最高支付限额为 18万元。
**支付范围**：包括药品目录、诊疗项目和医疗服务设施项目目录等符合社会保险法律法规规定的项目。
(Score: 7.996020317077637, ChunkID: chunk_25)

3(1).一、最高支付限额
参保职工一个年度内发生符合职工医保统筹
基金支付范围（以下称“统筹基金支付范围”）
的医疗费用，医保统筹基金（以下称“统筹基金”）
最高支付限额为50万元。
(Score: 7.393247604370117, ChunkID: chunk_one)

4(4).哈尔滨城乡居民门诊特殊疾病待遇（器官移植术后抗排异治疗），适用人群为成人居民。
**覆盖范围**：肝、肾、肺、心脏移植术后抗排异治疗（以及与病情相关的治疗药品和检查检验费用）。
**统筹基金支付比例**：80%。
**支付限额**：
1. **术后2年以内（含2年）**：年度最高支付限额 6.3万元，统筹金每人每季度最多支付不超过 15750元。
2. **术后2年以上**：年度最高支付限额 4.9万元，统筹金每人每季度最多支付不超过 12250元。
(Score: 7.22594690322876, ChunkID: chunk_32)

5(3).哈尔滨城乡居民门诊慢性病待遇（病种与基础标准）。
**覆盖病种**：包括高血压合并症、糖尿病合并症、脑血管意外偏瘫（外伤性脑出血除外）、重症冠心病（心功能不全3级以上）、器官移植术后辅助治疗（肝、肾、肺、心脏移植）、肺源性心脏病（慢性心力衰竭或慢性呼吸衰竭）、慢性阻塞性肺疾病、扩张型心肌病、房颤、癫痫、真性红细胞增多症、肝豆状核变性、慢性肾功能不全（III期以上）、风湿性心脏病（心功能不全3级以上）、帕金森氏病或帕金森氏病综合症、肝硬化、重症肌无力、类风湿性关节炎（功能3级以上）、慢性病毒性肝炎、布鲁氏菌病、艾滋病、支气管哮喘、阿尔茨海默症、冠状动脉支架术后药物治疗、冠状动脉搭桥术后药物治疗、银屑病、子宫内膜异位症、慢性心力衰竭。
**统筹基金支付比例**：70%。
**支付限额**：每人每季度统筹基金最高支付限额 400元，一个年度内统筹基金最高支付限额 1600元。
(Score: 7.055618762969971, ChunkID: chunk_45)"
家里小孩是学生，交的居民医保，在三级医院住院，起付线是多少钱？,720元。,chunk_26," 
起付标准（门槛费）为 720 元。因为是哈市三级定点医院。","2(4).哈尔滨城乡居民医保住院待遇（哈市专科定点医院）。
1. **精神疾病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
2. **肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
3. **耐多药肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 90%，成人居民 90%。
4. **其他传染病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 70%。
(Score: 7.757303237915039, ChunkID: chunk_27)

3(1).哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 7.745790004730225, ChunkID: chunk_26)

4(2).哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 7.585754871368408, ChunkID: chunk_28)

5(3).哈尔滨城镇职工医保住院待遇，就医类型为哈市三级定点医院。**起付标准（门槛费）**为 720元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 90%，退休人员支付 93%。
(Score: 6.284909725189209, ChunkID: chunk_1)"
我是成年居民，在二级医院住院，报销比例跟学生一样吗？是多少？,80%（学生也是80%）。,chunk_26," 
学生儿童的报销比例为 80%，而成人居民的报销比例为 75%。因此不同年龄段有差异。","2(3).哈尔滨城乡居民医保住院待遇（异地就医）。
**起付标准**：无等级医院 100元，一级医院 240元，二级医院 480元，三级医院 720元。
**报销比例**：
1. **异地转诊**：
   - 学生儿童：无等级/一级 85%，二级 75%，三级 75%。
   - 成人居民：无等级/一级 85%，二级 75%，三级 65%。
2. **异地急诊、自由转诊**：
   - 学生儿童：无等级/一级 80%，二级 70%，三级 70%。
   - 成人居民：无等级/一级 80%，二级 70%，三级 60%。
(Score: 8.078010559082031, ChunkID: chunk_28)

3(1).哈尔滨城乡居民医保住院待遇（哈市定点医院普通住院）。
**报销比例与起付标准**：
1. **无等级医院**：起付标准 100元。报销比例：学生儿童 90%，成人居民 90%。
2. **一级定点医院**：起付标准 240元。报销比例：学生儿童 90%，成人居民 90%。
3. **二级定点医院**：起付标准 480元。报销比例：学生儿童 80%，成人居民 80%。
4. **三级定点医院**：起付标准 720元。报销比例：学生儿童 80%，成人居民 70%。
(Score: 7.971904277801514, ChunkID: chunk_26)

4(2).哈尔滨城乡居民医保住院待遇（哈市专科定点医院）。
1. **精神疾病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
2. **肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 85%。
3. **耐多药肺结核**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 90%，成人居民 90%。
4. **其他传染病**：在专科定点医院住院，起付标准 0元。报销比例：学生儿童 85%，成人居民 70%。
(Score: 7.818686485290527, ChunkID: chunk_27)

5(4).哈尔滨城镇职工医保住院待遇，传染病患者在传染病专科定点医院住院。**起付标准（门槛费）**为 0元。报销比例：统筹基金（起付线-15万元）与大额基金（15万-50万元）支付比例一致，在职人员支付 95%，退休人员支付 98%。
(Score: 6.59471321105957, ChunkID: chunk_5)"
